ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
90822,117,63,36,0,4,2,0,0,12,0,0,0,0,Long Beach,CA
90831,0,0,0,0,0,0,0,0,0,5111,31,1876,1235,Long Beach,CA
91001,36126,12795,9499,79,1703,25,164,1392,10469,288366,2186,198263,68059,Altadena,CA
91006,31715,8840,270,48,17504,16,34,668,4335,439066,855,194064,175709,Arcadia,CA
91007,34095,8491,439,43,20072,7,66,610,4367,353625,594,314536,26955,Arcadia,CA
91008,1391,823,23,0,274,0,3,28,240,143235,55,118435,24500,Duarte,CA
91010,26074,5959,1926,66,3434,24,64,526,14075,46180,344,25486,14698,Duarte,CA
91011,20280,13118,101,4,5187,4,50,545,1271,872690,1166,327306,340966,La Canada Flintridge,CA
91016,40598,16410,2468,97,4506,70,101,1007,15939,124062,995,82149,28530,Monrovia,CA
91020,8415,4606,90,19,2295,12,15,214,1164,19667,355,12319,4974,Montrose,CA
91024,10917,7891,191,30,815,8,39,315,1628,88178,798,55634,22066,Sierra Madre,CA
91030,25616,11179,736,25,7904,6,81,920,4765,228497,1332,140429,62164,South Pasadena,CA
91040,20372,12836,239,61,1687,15,50,515,4969,38023,581,21666,12136,Sunland,CA
91042,27585,16450,405,53,2540,13,68,916,7140,73855,665,21923,7999,Tujunga,CA
91046,156,119,0,0,6,0,3,7,21,550,10,100,450,Verdugo City,CA
91101,20460,8112,1596,36,4451,13,69,597,5586,765612,983,98143,271375,Pasadena,CA
91103,27480,5210,5516,41,1900,16,70,537,14190,326953,1580,189076,69693,Pasadena,CA
91104,36751,15234,3708,47,2618,73,132,1103,13836,127942,1365,104153,12899,Pasadena,CA
91105,11254,7383,503,18,1414,4,21,316,1595,849346,1738,231778,528883,Pasadena,CA
91106,24229,10280,1530,36,5204,22,82,757,6318,524734,1210,255463,242987,Pasadena,CA
91107,32940,15389,1659,59,6333,21,101,1058,8320,288891,1581,166033,81212,Pasadena,CA
91108,13361,5003,54,1,7065,2,25,337,874,1265762,968,291798,735366,San Marino,CA
91201,22781,15652,271,11,2010,9,58,893,3877,74523,417,29674,24092,Glendale,CA
91202,22830,15731,303,15,3579,10,48,802,2342,177944,771,132641,30822,Glendale,CA
91203,13220,7826,175,29,2276,5,19,578,2312,46193,251,17647,15676,Glendale,CA
91204,16032,7013,282,33,2939,17,34,352,5362,28301,125,12508,10491,Glendale,CA
91205,37810,20989,470,20,5543,11,69,1109,9599,47940,346,26171,18926,Glendale,CA
91206,33065,20743,498,35,5701,31,58,1177,4822,125398,699,72608,38018,Glendale,CA
91207,10506,7775,80,9,1212,2,25,322,1081,97227,488,70380,19824,Glendale,CA
91208,16245,11212,110,12,2593,3,21,520,1774,122629,638,74550,25710,Glendale,CA
91210,328,174,8,0,113,0,2,1,30,1060,4,500,550,Glendale,CA
91214,30356,17707,176,44,8190,14,44,861,3320,127732,985,83197,11470,La Crescenta,CA
91301,25488,20204,318,34,1817,24,54,712,2325,190947,1085,94131,56991,Agoura Hills,CA
91302,25709,20681,418,43,2025,7,78,836,1621,962555,1318,571575,214206,Calabasas,CA
91303,26855,5958,1033,44,2766,42,85,511,16416,30272,305,16802,10750,Canoga Park,CA
91304,50231,19471,2384,87,6655,60,115,1299,20160,76921,1086,48379,21378,Canoga Park,CA
91306,45061,12527,1924,66,7951,39,135,1049,21370,38861,517,31772,4774,Winnetka,CA
91307,24474,16413,678,31,3131,15,45,838,3323,97135,845,64053,14796,West Hills,CA
91311,36557,19873,1475,95,5959,52,91,1078,7934,203430,1002,106417,82183,Chatsworth,CA
91316,26898,19625,929,33,1609,28,49,1277,3348,363776,1439,229631,103632,Encino,CA
91320,44274,30185,507,80,4610,39,98,1276,7479,512101,2681,72757,43656,Newbury Park,CA
91321,34882,15052,907,102,2053,51,86,697,15934,63696,421,26877,30924,Newhall,CA
91324,27669,10655,1252,49,4818,42,86,757,10010,72957,521,26011,28321,Northridge,CA
91325,32417,13667,1732,51,5409,73,120,936,10429,191490,879,39286,135520,Northridge,CA
91326,33708,16979,1087,37,9926,26,101,1048,4504,182826,969,128464,35165,Porter Ranch,CA
91330,2702,710,671,10,320,2,4,118,867,15,1,15,0,Northridge,CA
91331,103689,4358,2991,164,4383,77,183,510,91023,13050,220,11327,1140,Pacoima,CA
91335,74363,22785,2685,139,9035,64,230,1819,37606,72123,717,52207,15129,Reseda,CA
91340,34188,1579,544,85,327,20,27,154,31452,10590,204,7165,2511,San Fernando,CA
91342,91725,12864,4113,269,4879,49,173,934,68444,88786,752,27950,27643,Sylmar,CA
91343,60254,12730,2406,71,8417,89,187,916,35438,32371,625,20021,8332,North Hills,CA
91344,51747,24629,1676,78,8914,40,162,1407,14841,109949,978,71665,27902,Granada Hills,CA
91345,18496,3471,611,48,1716,28,54,239,12329,31722,177,13126,8510,Mission Hills,CA
91350,33348,20731,864,94,3021,40,96,866,7636,110242,545,36100,59602,Santa Clarita,CA
91351,32362,14691,1178,83,2212,47,109,880,13162,17287,287,10093,4966,Canyon Country,CA
91352,47807,8132,718,85,2947,69,91,451,35314,68005,449,20557,31989,Sun Valley,CA
91354,28722,17722,886,47,4543,37,43,953,4491,67078,792,43381,13843,Valencia,CA
91355,32605,21538,861,67,3414,31,96,886,5712,213519,975,69440,88001,Valencia,CA
91356,29458,20852,1212,50,1889,44,73,1249,4089,291113,1219,175701,86095,Tarzana,CA
91360,42402,29371,479,99,2683,60,91,1016,8603,167809,1377,74408,60656,Thousand Oaks,CA
91361,20438,16652,205,29,1317,21,45,525,1644,465553,1357,163703,213959,Westlake Village,CA
91362,36045,25961,472,46,3206,28,68,888,5376,512507,1434,168760,172624,Thousand Oaks,CA
91364,25851,19467,981,38,1617,15,74,1137,2522,318064,1356,197249,100959,Woodland Hills,CA
91367,39499,26753,1757,88,4839,52,101,1534,4375,613784,1742,364153,140908,Woodland Hills,CA
91371,1,1,0,0,0,0,0,0,0,0,0,0,0,Woodland Hills,CA
91377,13811,10903,138,15,1553,8,17,351,826,59742,307,39071,9361,Oak Park,CA
91381,20158,10842,652,57,4753,26,61,676,3091,76080,568,30157,32610,Stevenson Ranch,CA
91384,29855,13318,2745,54,2232,31,88,733,10654,37435,221,16070,13388,Castaic,CA
91387,40328,18796,2475,106,4158,60,101,1144,13488,117244,457,33700,68017,Canyon Country,CA
91390,19786,13402,549,62,1310,19,40,621,3783,34063,414,14505,15588,Santa Clarita,CA
91401,39285,17883,1635,69,2067,25,123,808,16675,202057,993,135300,41941,Van Nuys,CA
91402,69817,6792,1830,94,9772,60,183,758,50328,35679,273,33269,2186,Panorama City,CA
91403,23484,17196,1119,21,1717,21,75,798,2537,673518,1493,449569,147036,Sherman Oaks,CA
91405,51145,12574,2414,69,4022,59,218,847,30942,41431,359,20248,15935,Van Nuys,CA
91406,51558,15135,2531,112,3890,59,209,976,28646,95348,787,57525,30022,Van Nuys,CA
91411,24628,8457,1261,66,1545,15,95,490,12699,55068,596,28488,24082,Van Nuys,CA
91423,30991,22654,1494,45,1968,29,103,984,3714,1095600,2302,367855,345159,Sherman Oaks,CA
91436,14372,12025,275,9,733,9,29,442,850,1359431,2091,958018,226912,Encino,CA
91501,20849,14255,443,20,2493,14,50,740,2834,52218,708,35397,15088,Burbank,CA
91502,11371,5486,396,31,1227,16,23,399,3793,48293,294,25763,20732,Burbank,CA
91504,24939,13906,500,28,3278,24,64,716,6423,58971,480,39624,14103,Burbank,CA
91505,30778,17778,811,76,3187,14,75,760,8077,554667,1512,249018,45596,Burbank,CA
91506,18904,10863,388,43,1938,11,44,542,5075,162692,984,47645,5890,Burbank,CA
91601,37180,14511,2707,89,2412,37,149,984,16291,106604,1256,61648,27385,North Hollywood,CA
91602,17473,11947,1051,47,1179,9,57,592,2591,282831,1238,232551,29432,North Hollywood,CA
91604,29034,22455,1148,52,1921,23,76,888,2471,646025,2239,536796,70812,Studio City,CA
91605,56343,12452,1691,97,5426,26,206,777,35668,30097,723,26559,2945,North Hollywood,CA
91606,44958,14428,1483,73,2270,69,167,775,25693,37958,540,22506,13047,North Hollywood,CA
91607,27927,18523,1390,60,1554,21,111,805,5463,176477,1449,135379,29175,Valley Village,CA
91608,0,0,0,0,0,0,0,0,0,53697,116,16755,0,Universal City,CA
91701,38976,20907,2113,98,2818,84,57,991,11908,57733,359,35048,15443,Rancho Cucamonga,CA
91702,59705,10349,1459,146,4426,75,77,743,42430,58411,231,48332,9248,Azusa,CA
91706,76571,3313,668,92,10529,67,97,353,61452,29073,270,22162,3863,Baldwin Park,CA
91708,3369,1015,530,55,483,23,8,136,1119,16903,43,14841,200,Chino,CA
91709,74796,25015,3225,143,22351,99,180,1982,21801,169128,733,103273,30767,Chino Hills,CA
91710,80358,22454,4082,221,7825,103,207,1230,44236,124780,534,77290,15750,Chino,CA
91711,35705,21028,1594,80,4584,35,71,1226,7087,340268,1946,176528,122280,Claremont,CA
91722,34409,7554,1131,106,3679,48,57,505,21329,19220,175,10844,3783,Covina,CA
91723,18275,5503,708,51,1786,32,34,330,9831,18623,86,3773,9670,Covina,CA
91724,26184,9547,847,67,3201,40,78,531,11873,60686,310,16121,37965,Covina,CA
91730,66925,23622,7194,183,6217,165,209,1751,27584,144975,670,56012,53375,Rancho Cucamonga,CA
91731,29591,1745,177,51,7447,30,23,127,19991,35344,70,26553,8150,El Monte,CA
91732,61386,3116,292,64,15158,41,47,314,42354,39206,100,27671,1220,El Monte,CA
91733,43896,1408,65,42,7871,20,86,134,34270,249895,272,126089,96656,South El Monte,CA
91737,24740,12847,1859,45,2208,37,43,819,6882,55069,300,32738,16409,Rancho Cucamonga,CA
91739,34794,13269,3324,83,5523,97,99,1032,11367,86826,436,49770,18309,Rancho Cucamonga,CA
91740,25356,11950,613,59,2137,30,56,621,9890,60924,355,15656,42289,Glendora,CA
91741,25824,17327,234,45,1842,13,56,593,5714,187567,575,68371,33517,Glendora,CA
91744,85040,4429,1052,137,7041,85,107,450,71739,14079,210,13128,435,La Puente,CA
91745,54013,8029,644,68,19875,63,70,671,24593,243951,593,164150,54317,Hacienda Heights,CA
