ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
10933,473,420,13,0,0,0,0,1,39,0,0,0,0,Johnson,NY
10940,48418,23474,7318,148,1016,10,145,1155,15152,36304,489,22317,3435,Middletown,NY
10941,13779,7818,2050,41,530,2,43,336,2959,8853,123,4321,2977,Middletown,NY
10950,47226,40046,1039,80,1020,7,49,501,4484,56246,428,25944,28208,Monroe,NY
10952,38917,34761,1707,31,652,5,22,245,1494,121837,345,43990,59702,Monsey,NY
10953,252,227,1,0,5,0,0,4,15,2359,52,1859,0,Mountainville,NY
10954,23045,14077,2812,28,2832,0,36,337,2923,40336,402,28046,2551,Nanuet,NY
10956,31521,22960,1965,31,3182,0,82,479,2822,161000,614,115961,10749,New City,NY
10958,3291,2605,243,0,53,3,7,41,339,8117,17,3700,3255,New Hampton,NY
10960,15093,9237,2887,31,651,1,50,313,1923,174766,936,164108,6664,Nyack,NY
10962,5950,3857,436,6,888,3,10,90,660,8884,77,6063,420,Orangeburg,NY
10963,4298,2384,916,19,58,0,18,49,854,375,3,100,275,Otisville,NY
10964,1472,1155,24,1,197,0,2,6,87,30875,167,23985,500,Palisades,NY
10965,14791,12932,106,23,529,8,15,136,1042,41874,300,22961,6038,Pearl River,NY
10968,2353,1857,76,1,143,0,9,28,239,29351,281,20311,7500,Piermont,NY
10969,1267,1088,25,1,11,0,0,13,129,0,0,0,0,Pine Island,NY
10970,9993,5439,1658,19,742,1,37,199,1898,0,0,0,0,Pomona,NY
10973,2126,1804,35,3,36,0,1,33,214,934,7,131,0,Slate Hill,NY
10974,3152,2477,95,7,89,0,11,39,434,34497,75,892,30975,Sloatsburg,NY
10975,281,239,11,0,4,0,1,2,24,0,0,0,0,Southfields,NY
10976,2258,1736,59,2,146,0,4,40,271,4381,22,2400,1750,Sparkill,NY
10977,59048,25361,16824,76,2758,9,174,832,13014,86572,295,38977,19456,Spring Valley,NY
10979,234,206,1,1,4,0,3,3,16,470,13,470,0,Sterling Forest,NY
10980,13383,10516,458,10,400,1,25,161,1812,30012,117,15627,6211,Stony Point,NY
10983,5532,4247,58,3,615,0,6,78,525,16470,194,10438,4838,Tappan,NY
10984,2842,1923,214,5,127,0,0,25,548,8319,37,6861,877,Thiells,NY
10985,58,51,6,0,0,0,0,0,1,0,0,0,0,Thompson Ridge,NY
10986,1974,1691,41,1,16,1,2,47,175,6396,67,5331,10,Tomkins Cove,NY
10987,3395,2842,62,3,185,0,9,59,235,89915,107,67474,17502,Tuxedo Park,NY
10988,896,789,23,1,4,0,2,5,72,76,4,76,0,Unionville,NY
